of	IN
Primary	JJ
Sources	NNS
verse	VBP
Verse	NNP
For	IN
each	DT
module	NN
listed	VBN
above	RB
,	,
the	DT
corresponding	JJ
chapter	NN
gives	VBZ
a	DT
full	JJ
description	NN
of	IN
the	DT
classes	NNS
,	,
elements	NNS
,	,
and	CC
macros	NNS
which	WDT
it	PRP
makes	VBZ
available	JJ
when	WRB
it	PRP
is	VBZ
included	VBN
in	IN
a	DT
schema	NN
.	.
Other	JJ
chapters	NNS
of	IN
these	DT
Guidelines	NNS
explore	VBP
other	JJ
aspects	NNS
of	IN
using	VBG
the	DT
TEI	NNP
scheme	NN
.	.
Defining	VBG
a	DT
TEI	NNP
Schema	NNP
To	TO
determine	VB
that	IN
an	DT
XML	NN
document	NN
is	VBZ
valid	JJ
(	-LRB-
as	IN
opposed	VBN
to	TO
merely	RB
well-formed	JJ
)	-RRB-
,	,
its	PRP$
structure	NN
must	MD
be	VB
checked	VBN
against	IN
a	DT
schema	NN
,	,
as	IN
discussed	VBN
in	IN
chapter	NN
.	.
For	IN
a	DT
valid	JJ
TEI	NNP
document	NN
,	,
this	DT
schema	NN
must	MD
be	VB
a	DT
conformant	JJ
TEI	NN
schema	NN
,	,
as	IN
further	JJ
defined	VBN
in	IN
chapter	NN
.	.
Local	JJ
systems	NNS
may	MD
allow	VB
their	PRP$
schema	NN
to	TO
be	VB
implicit	JJ
,	,
but	CC
for	IN
interchange	NN
purposes	NNS
the	DT
schema	NN
associated	VBN
with	IN
a	DT
document	NN
must	MD
be	VB
made	VBN
explicit	JJ
.	.
The	DT
method	NN
of	IN
doing	VBG
this	DT
recommended	VBN
by	IN
these	DT
Guidelines	NNS
is	VBZ
to	TO
provide	VB
explicitly	RB
or	CC
by	IN
reference	NN
a	DT
TEI	NNP
schema	NN
specification	NN
against	IN
which	WDT
the	DT
document	NN
may	MD
be	VB
validated	VBN
.	.
A	DT
TEI-conformant	JJ
schema	NN
is	VBZ
a	DT
specific	JJ
combination	NN
of	IN
TEI	NNP
modules	NNS
,	,
possibly	RB
also	RB
including	VBG
additional	JJ
declarations	NNS
that	WDT
modify	VBP
the	DT
element	NN
and	CC
attribute	NN
